"Name","Total Time","Total Time (CPU)","Hits"
"Monitor Ctrl-Break","158,699 ms (-0%)","158,699 ms (-0%)","1"
" com.intellij.rt.execution.application.AppMainV2$1.run ()","158,699 ms (-0%)","158,699 ms (-0%)","1"
"  java.io.BufferedReader.readLine ()","158,699 ms (-0%)","158,699 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-1","158,699 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","158,699 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","158,699 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","158,699 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-2","158,699 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","158,699 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","158,699 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","158,699 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"container-0","158,699 ms (-0%)","0.0 ms (0%)","1"
" org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run ()","158,699 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.catalina.core.StandardServer.await ()","158,699 ms (-0%)","0.0 ms (0%)","1"
"   java.lang.Thread.sleep[native] ()","158,699 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"MVStore background writer nio:C:/Users/Costi/Desktop/MusicStore/instruments.db.mv.db","158,699 ms (-0%)","108 ms (-0%)","1"
" org.h2.mvstore.MVStore$BackgroundWriterThread.run ()","158,699 ms (-0%)","108 ms (-0%)","1"
"  java.lang.Object.wait[native] ()","158,591 ms (-0%)","0.0 ms (0%)","2"
"  Self time","108 ms (-0%)","108 ms (-0%)","1"
"http-nio-8080-BlockPoller","158,699 ms (-0%)","116 ms (-0%)","1"
" org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller.run ()","158,699 ms (-0%)","116 ms (-0%)","1"
"  sun.nio.ch.SelectorImpl.select ()","158,583 ms (-0%)","0.0 ms (0%)","2"
"  org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller.events ()","116 ms (-0%)","116 ms (-0%)","1"
"   org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller$RunnableRemove.run ()","116 ms (-0%)","116 ms (-0%)","1"
"    java.nio.channels.spi.AbstractSelectableChannel.keyFor ()","116 ms (-0%)","116 ms (-0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-exec-1","158,699 ms (-0%)","917 ms (-0%)","1"
" java.lang.Thread.run ()","158,699 ms (-0%)","917 ms (-0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","158,699 ms (-0%)","917 ms (-0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","158,699 ms (-0%)","917 ms (-0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","158,699 ms (-0%)","917 ms (-0%)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","157,782 ms (-0%)","0.0 ms (0%)","3"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","157,782 ms (-0%)","0.0 ms (0%)","3"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","157,782 ms (-0%)","0.0 ms (0%)","3"
"        java.util.concurrent.LinkedBlockingQueue.take ()","157,782 ms (-0%)","0.0 ms (0%)","3"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"     org.apache.tomcat.util.net.SocketProcessorBase.run ()","917 ms (-0%)","917 ms (-0%)","2"
"      org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun ()","917 ms (-0%)","917 ms (-0%)","2"
"       org.apache.coyote.AbstractProtocol$ConnectionHandler.process ()","917 ms (-0%)","917 ms (-0%)","2"
"        org.apache.coyote.AbstractProcessorLight.process ()","820 ms (-0%)","820 ms (-0%)","2"
"         org.apache.coyote.http11.Http11Processor.service ()","820 ms (-0%)","820 ms (-0%)","2"
"          org.apache.catalina.connector.CoyoteAdapter.service ()","820 ms (-0%)","820 ms (-0%)","2"
"           org.apache.catalina.core.StandardEngineValve.invoke ()","820 ms (-0%)","820 ms (-0%)","2"
"            org.apache.catalina.valves.ErrorReportValve.invoke ()","820 ms (-0%)","820 ms (-0%)","2"
"             org.apache.catalina.core.StandardHostValve.invoke ()","820 ms (-0%)","820 ms (-0%)","2"
"              org.apache.catalina.authenticator.AuthenticatorBase.invoke ()","820 ms (-0%)","820 ms (-0%)","2"
"               org.apache.catalina.core.StandardContextValve.invoke ()","720 ms (-0%)","720 ms (-0%)","2"
"                org.apache.catalina.core.StandardWrapperValve.invoke ()","720 ms (-0%)","720 ms (-0%)","2"
"                 org.apache.catalina.core.ApplicationFilterChain.doFilter ()","620 ms (-0%)","620 ms (-0%)","2"
"                  org.apache.catalina.core.ApplicationFilterChain.internalDoFilter ()","620 ms (-0%)","620 ms (-0%)","2"
"                   org.springframework.web.filter.OncePerRequestFilter.doFilter ()","620 ms (-0%)","620 ms (-0%)","2"
"                    org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal ()","620 ms (-0%)","620 ms (-0%)","2"
"                     org.apache.catalina.core.ApplicationFilterChain.doFilter ()","620 ms (-0%)","620 ms (-0%)","2"
"                      org.apache.catalina.core.ApplicationFilterChain.internalDoFilter ()","620 ms (-0%)","620 ms (-0%)","2"
"                       org.springframework.web.filter.OncePerRequestFilter.doFilter ()","620 ms (-0%)","620 ms (-0%)","2"
